2010-10-22 17:50:42 Debug: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\cake\libs\debugger.php, line 684]
2010-10-22 17:50:42 Debug: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\cake\libs\debugger.php, line 688]
2010-10-22 18:26:13 Debug: Notice (8): Undefined variable: cakeDebug in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 32]
2010-10-22 18:28:38 Debug: Notice (8): Undefined variable: cakeDebug in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 30]
2010-10-22 18:28:42 Debug: Notice (8): Undefined variable: cakeDebug in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\layouts\default.ctp, line 30]
2010-10-23 11:09:38 Debug: Notice (8): Undefined index: id in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 25]
2010-10-23 11:09:38 Debug: Notice (8): Undefined property: CustomersController::$Make in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 28]
2010-10-23 11:10:14 Debug: Notice (8): Undefined index: id in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 25]
2010-10-23 11:10:40 Debug: Notice (8): Undefined index: id in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 25]
2010-10-23 11:11:34 Debug: Notice (8): Undefined index: id in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 25]
2010-10-23 11:46:07 Debug: Notice (8): Use of undefined constant type - assumed 'type' in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\customers\maint.ctp, line 15]
2010-10-23 11:46:30 Debug: Notice (8): Use of undefined constant type - assumed 'type' in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\views\customers\maint.ctp, line 15]
2010-10-23 11:50:53 Debug: Notice (8): Undefined index: name in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 42]
2010-10-23 11:53:29 Debug: Notice (8): Undefined index: id in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 41]
2010-10-23 11:53:48 Debug: Notice (8): Undefined index: id in [D:\xampp_1.7.3\xampp\htdocs\superparts_s2\app\controllers\customers_controller.php, line 42]
